ZAGROS POWER PLANT,,,,,,,,
GAS STATION LOG SHEET,,,,,,,,
CONFIRMED BY :,,,,,,,,
DATE,DESCRIPTION,UNIT,OT-1,SITE-1,OT-2,SITE-2,OT-3,SITE-3
1397/2/1,INLET GAS PRESS TO STATION,PSI,569.9,560,538,540,565.5,560
INLET GAS TEMP TO STATION,C°,14.4,14,13,14,14.35,15,
1397/2/2,INLET GAS PRESS TO STATION,PSI,-,507.6,529,540,507,510
INLET GAS TEMP TO STATION,C°,-,13,14,14,13.22,13,
1397/2/3,INLET GAS PRESS TO STATION,PSI,496,500,506,500,-,507.6
INLET GAS TEMP TO STATION,C°,13.4,13,13.77,13,-,13,
1397/2/4,INLET GAS PRESS TO STATION,PSI,476,475,458,460,476.6,470
INLET GAS TEMP TO STATION,C°,13.13,14,13.5,15,13.1,13,
1397/2/5,INLET GAS PRESS TO STATION,PSI,-,464.1,478,480,479,480
INLET GAS TEMP TO STATION,C°,-,15,13.6,14,13,16,
1397/2/6,INLET GAS PRESS TO STATION,PSI,-,510,496,490,516,510
INLET GAS TEMP TO STATION,C°,-,14,13.8,14,12.8,14,
1397/2/7,INLET GAS PRESS TO STATION,PSI,517,505,554,540,-,550
INLET GAS TEMP TO STATION,C°,13,14,14.2,14,-,14,
1397/2/8,INLET GAS PRESS TO STATION,PSI,575,560,620,600,527,520
INLET GAS TEMP TO STATION,C°,14,14,14.3,15,13,14,
1397/2/9,INLET GAS PRESS TO STATION,PSI,625,623,-,600,640,638.1
INLET GAS TEMP TO STATION,C°,13.14,14,-,14,14.35,15,
1397/2/10,INLET GAS PRESS TO STATION,PSI,660,640,644,630,659,640
INLET GAS TEMP TO STATION,C°,14,14,14.1,14,14,14,
1397/2/11,INLET GAS PRESS TO STATION,PSI,637.2,638.1,-,630,615,609
INLET GAS TEMP TO STATION,C°,14.06,14,-,14,13.5,15,
1397/2/12,INLET GAS PRESS TO STATION,PSI,595,600,597,595,-,590
INLET GAS TEMP TO STATION,C°,14.7,15,14.7,15.5,-,14,
1397/2/13,INLET GAS PRESS TO STATION,PSI,630,620,613,605,606,600
INLET GAS TEMP TO STATION,C°,14.5,14,14.1,14,14.2,15,
1397/2/14,INLET GAS PRESS TO STATION,PSI,623,605,623,605,621,615
INLET GAS TEMP TO STATION,C°,14.6,14,14.6,14,15,14,
1397/2/15,INLET GAS PRESS TO STATION,PSI,619.3,623.66,-,570,602,601
INLET GAS TEMP TO STATION,C°,14.3,15,-,13,21.3,22,
1397/2/16,INLET GAS PRESS TO STATION,PSI,631.5,620,-,573,621,605
